"id","journal_id","type_id","project_id","subject","description","due_date","category_id","status_id","assigned_to_id","priority_id","fixed_version_id","author_id","done_ratio","estimated_hours","start_date","parent_id","responsible_id","cost_object_id","story_points","remaining_hours"
"1","4","6","1","New login screen","\N","\N","\N","2","1","8","2","1","0","\N","\N","\N","\N","\N","\N","\N"
"2","5","7","1","Password reset does not send email","\N","\N","\N","4","1","8","1","1","0","\N","\N","\N","\N","\N","\N","\N"
"3","6","5","1","New website","\N","2019-06-08","\N","1","1","8","\N","1","0","\N","2019-06-08","\N","\N","\N","\N","\N"
"4","7","6","1","Newsletter registration form","\N","\N","\N","1","1","8","2","1","0","\N","\N","\N","\N","\N","\N","\N"
"5","8","6","1","Newsletter registration form","\N","\N","\N","1","1","8","2","1","0","\N","\N","3","\N","\N","\N","\N"
"6","9","6","1","Implement product tour","\N","\N","\N","1","1","8","2","1","0","\N","\N","\N","\N","\N","\N","\N"
"7","10","6","1","Implement product tour","\N","\N","\N","1","1","8","2","1","0","\N","\N","3","\N","\N","\N","\N"
"8","11","6","1","New landing page","\N","2019-06-08","\N","3","1","8","3","1","0","\N","2019-06-08","\N","\N","\N","3","\N"
"9","12","1","1","Create wireframes for new landing page","\N","2019-06-08","\N","7","1","8","3","1","0","\N","2019-06-08","\N","\N","\N","\N","\N"
"10","13","1","1","Create wireframes for new landing page","\N","2019-06-08","\N","7","1","8","3","1","0","\N","2019-06-08","6","\N","\N","\N","\N"
"11","14","6","1","New landing page","\N","2019-06-08","\N","3","1","8","3","1","0","\N","2019-06-08","3","\N","\N","3","\N"
"12","15","6","1","Contact form","\N","2019-06-03","\N","3","1","8","3","1","0","\N","2019-06-03","\N","\N","\N","1","\N"
"13","16","6","1","Feature carousel","\N","\N","\N","3","1","8","3","1","0","\N","\N","\N","\N","\N","5","\N"
"14","17","1","1","Make screenshots for feature tour","\N","\N","\N","13","1","8","3","1","0","\N","\N","\N","\N","\N","\N","\N"
"15","18","1","1","Make screenshots for feature tour","\N","\N","\N","13","1","8","3","1","0","\N","\N","9","\N","\N","\N","\N"
"16","19","7","1","Wrong hover color","\N","2019-06-03","\N","4","1","8","3","1","0","\N","2019-06-03","\N","\N","\N","1","\N"
"17","20","6","1","SSL certificate","\N","2019-06-04","\N","3","1","8","2","1","0","\N","2019-06-04","\N","\N","\N","\N","\N"
"18","21","6","1","Set-up Staging environment","\N","2019-06-05","\N","2","1","8","2","1","0","\N","2019-06-05","\N","\N","\N","\N","\N"
"19","22","6","1","Choose a content management system","\N","2019-06-06","\N","3","1","8","2","1","0","\N","2019-06-06","\N","\N","\N","\N","\N"
"20","23","6","1","Website navigation structure","\N","2019-06-07","\N","3","1","8","3","1","0","\N","2019-06-07","\N","\N","\N","3","\N"
"21","24","1","1","Set up navigation concept for website.","\N","2019-06-07","\N","1","1","8","3","1","0","\N","2019-06-07","\N","\N","\N","\N","\N"
"22","25","1","1","Set up navigation concept for website.","\N","2019-06-07","\N","1","1","8","3","1","0","\N","2019-06-07","15","\N","\N","\N","\N"
"23","26","6","1","Internal link structure","\N","2019-06-07","\N","1","1","8","2","1","0","\N","2019-06-07","\N","\N","\N","\N","\N"
"24","27","3","1","Develop v1.0","\N","2019-05-30","\N","1","1","8","\N","1","0","\N","2019-05-27","\N","\N","\N","\N","\N"
"25","28","2","1","Release v1.0","\N","2019-05-31","\N","1","1","8","\N","1","0","\N","2019-05-31","\N","\N","\N","\N","\N"
"26","29","3","1","Develop v1.1","\N","2019-06-06","\N","1","1","8","\N","1","0","\N","2019-06-03","\N","\N","\N","\N","\N"
"27","30","2","1","Release v1.1","\N","2019-06-07","\N","1","1","8","\N","1","0","\N","2019-06-07","\N","\N","\N","\N","\N"
"28","31","3","1","Develop v2.0","\N","2019-06-13","\N","1","1","8","\N","1","0","\N","2019-06-10","\N","\N","\N","\N","\N"
"29","32","2","1","Release v2.0","\N","2019-06-14","\N","1","1","8","\N","1","0","\N","2019-06-14","\N","\N","\N","\N","\N"
"30","37","2","2","Project kick-off","Plan and execute the project kick-off.","2019-05-17","\N","6","1","9","\N","1","50","8","2019-05-17","\N","\N","\N","\N","\N"
"31","38","3","2","Project planning","Please execute the related tasks:

* ##child:1
* ##child:2
* ##child:3
* ##child:4
* ##child:5
* ##child:6
* ##child:7
","2019-05-16","\N","6","1","9","\N","1","0","8","2019-05-13","\N","\N","\N","\N","\N"
"32","39","1","2","Create a new project","Please [create a new project](/projects/new) from the project drop down menu in the left hand header navigation.

**You can:**
* give your project a name,
* add a project description,
* create a project structure,
* set a project to public.

**Visuals:**
![new project](##attachment:""new_project.jpg"")

**Find out more:**
* https://www.openproject.org/help/administration/manage-projects/
","2019-05-13","\N","1","1","8","\N","1","0","\N","2019-05-13","\N","\N","\N","\N","\N"
"33","41","1","2","Create a new project","Please [create a new project](/projects/new) from the project drop down menu in the left hand header navigation.

**You can:**
* give your project a name,
* add a project description,
* create a project structure,
* set a project to public.

**Visuals:**
![new project](/attachments/1)

**Find out more:**
* https://www.openproject.org/help/administration/manage-projects/
","2019-05-13","\N","1","1","8","\N","1","0","\N","2019-05-13","\N","\N","\N","\N","\N"
"34","42","1","2","Create a new project","Please [create a new project](/projects/new) from the project drop down menu in the left hand header navigation.

**You can:**
* give your project a name,
* add a project description,
* create a project structure,
* set a project to public.

**Visuals:**
![new project](/attachments/1)

**Find out more:**
* https://www.openproject.org/help/administration/manage-projects/
","2019-05-13","\N","1","1","8","\N","1","0","\N","2019-05-13","25","\N","\N","\N","\N"
"35","43","1","2","Customize project overview page","You can [customize your project overview page](/my_projects_overview/demo-project/page_layout) to add important information, such as project description, important links, work packages overview, news, and much more.

**You can:**
* edit the project overview by clicking on the gear icon,
* add a project description,
* add links to important project information or custom reports,
* insert news or work packages,
* and much more.

**Visuals:**
![project overview](##attachment:""project_overview.jpg"")

**Find out more:**
* https://www.openproject.org/help/project-setup/
","2019-05-13","\N","1","1","8","\N","1","0","\N","2019-05-13","\N","\N","\N","\N","\N"
"36","45","1","2","Customize project overview page","You can [customize your project overview page](/my_projects_overview/demo-project/page_layout) to add important information, such as project description, important links, work packages overview, news, and much more.

**You can:**
* edit the project overview by clicking on the gear icon,
* add a project description,
* add links to important project information or custom reports,
* insert news or work packages,
* and much more.

**Visuals:**
![project overview](/attachments/2)

**Find out more:**
* https://www.openproject.org/help/project-setup/
","2019-05-13","\N","1","1","8","\N","1","0","\N","2019-05-13","\N","\N","\N","\N","\N"
"37","46","1","2","Customize project overview page","You can [customize your project overview page](/my_projects_overview/demo-project/page_layout) to add important information, such as project description, important links, work packages overview, news, and much more.

**You can:**
* edit the project overview by clicking on the gear icon,
* add a project description,
* add links to important project information or custom reports,
* insert news or work packages,
* and much more.

**Visuals:**
![project overview](/attachments/2)

**Find out more:**
* https://www.openproject.org/help/project-setup/
","2019-05-13","\N","1","1","8","\N","1","0","\N","2019-05-13","25","\N","\N","\N","\N"
"38","47","1","2","Activate further modules","Please activate further [Modules](/projects/demo-project/settings/modules) in the Project settings in order to have more features in your project.

**You can:**
* add a Scrum module (Backlogs),
* add time tracking, reporting, and budgets (Time Tracking, Cost Reports, Budgets),
* add a wiki,
* add meetings,
* and more.

**Visuals:**
![project modules](##attachment:""project_modules.jpg"")

**Find out more:**
* https://www.openproject.org/help/activate-deactivate-modules/
","2019-05-13","\N","1","1","8","\N","1","0","\N","2019-05-13","\N","\N","\N","\N","\N"
"115","143","1","3","Detailed design","\N","\N","\N","1","\N","8","\N","3","0","136","\N","\N","\N","\N","\N","136"
"116","145","1","3","Preparation of construction drawings","","\N","\N","1","\N","8","\N","3","0","120","\N","44","\N","\N","\N","120"
"117","146","1","3","Project deliverables","\N","\N","\N","1","\N","8","\N","3","0","120","\N","\N","\N","\N","\N","120"
"118","147","1","3","Bill of quantities","","\N","\N","1","\N","8","\N","3","0","32","\N","44","\N","\N","\N","32"
